,0,1,2,3,4,5,6,7,8,9,10,11
46,cds-WP_002888056.1,cds-WP_002913158.1,cds-WP_004144748.1,cds-WP_032428654.1,cds-WP_013815099.1-43,cds-WP_013815099.1-55,cds-WP_013815099.1-2,cds-WP_001096200.1,cds-WP_004145564.1,cds-WP_004150977.1,cds-WP_013815099.1-3,cds-WP_019724884.1
47,cds-WP_002888731.1,cds-WP_002884146.1,cds-WP_085921749.1,cds-WP_002914033.1,cds-WP_050484282.1,cds-WP_013815099.1-29,cds-WP_187079192.1,cds-WP_002918372.1,cds-WP_004151452.1,cds-WP_050484272.1,cds-WP_013815099.1-46,cds-WP_004151554.1
48,cds-WP_004901914.1,cds-WP_002889299.1,cds-WP_032429691.1,cds-WP_004151928.1,cds-WP_013815099.1-71,cds-WP_013815099.1-46,cds-WP_013815099.1-71,cds-WP_002916864.1,cds-WP_021440531.1,cds-WP_004893549.1,cds-WP_013815099.1,cds-WP_002920103.1
49,cds-WP_001096200.1,cds-WP_004147333.1,cds-WP_002882911.1,cds-WP_032428356.1,cds-WP_013815099.1-18,cds-WP_013815099.1-21,cds-WP_013815099.1-74,cds-WP_002896399.1,cds-WP_004151066.1,cds-WP_077254746.1,cds-WP_013815099.1-53,cds-WP_001741945.1
50,cds-WP_032429482.1,cds-WP_021441395.1,cds-WP_002916480.1,cds-WP_004151574.1,cds-WP_013815099.1-59,cds-WP_013815099.1-50,cds-WP_013815099.1-3,cds-WP_004185922.1,cds-WP_004142166.1,cds-AF52_RS19130,cds-WP_013815099.1-10,cds-WP_032429569.1
51,cds-WP_032430155.1,cds-WP_004151930.1,cds-WP_002894394.1,cds-WP_002919665.1,cds-WP_013815099.1,cds-WP_013815099.1-61,cds-WP_013815099.1-73,cds-WP_004150944.1,cds-WP_002919206.1,cds-WP_050484291.1,cds-WP_013815099.1-70,cds-WP_004212852.1
52,cds-WP_002918372.1,cds-WP_004151407.1,cds-WP_002886827.1,cds-WP_004174438.1,cds-WP_013815099.1-25,cds-WP_013815099.1-26,cds-WP_013815099.1-40,cds-WP_004146997.1,cds-WP_002913358.1,cds-WP_004149864.1,cds-WP_013815099.1-38,cds-WP_004140076.1
53,cds-WP_004151574.1,cds-WP_023285394.1,cds-WP_004148994.1,cds-WP_002886827.1,cds-WP_013815099.1-77,cds-WP_013815099.1-14,cds-WP_013815099.1-66,cds-WP_004151118.1,cds-WP_002917895.1,cds-WP_002914072.1,cds-WP_013815099.1-41,cds-WP_021441237.1
54,cds-WP_002919515.1,cds-WP_021441401.1,cds-WP_002910917.1,cds-WP_000829818.1,cds-WP_013815099.1-72,cds-WP_013815099.1-32,cds-WP_013815099.1-79,cds-WP_032429785.1,cds-WP_004179071.1,cds-WP_002918364.1,cds-WP_013815099.1-21,cds-WP_002888731.1
55,cds-WP_004175074.1,cds-WP_002884142.1,cds-WP_004152310.1,cds-WP_002915213.1,cds-WP_013815099.1-45,cds-WP_013815099.1-20,cds-WP_013815099.1-17,cds-WP_004147848.1,cds-WP_021314545.1,cds-AF52_RS11815,cds-WP_013815099.1-7,cds-WP_002884747.1
56,cds-WP_021441395.1,cds-WP_002919794.1,cds-WP_002884342.1,cds-WP_002913156.1,cds-WP_013815099.1-37,cds-AF52_RS27300,cds-WP_013815099.1-36,cds-WP_002919259.1,cds-WP_032430276.1,cds-WP_032429589.1,cds-WP_013815099.1-65,cds-WP_002923152.1
57,cds-WP_002890400.1,cds-WP_032429575.1,cds-WP_002882894.1,cds-WP_004145907.1,cds-WP_013815099.1-74,cds-WP_013815099.1-43,cds-WP_013815099.1-72,cds-WP_002921035.1,cds-WP_002913194.1,cds-WP_072001575.1,cds-WP_013815099.1-33,cds-WP_032430211.1
58,cds-WP_021440531.1,cds-WP_004144995.1,cds-WP_002912871.1,cds-WP_004177729.1,cds-WP_013815099.1-68,cds-AF52_RS16545,cds-WP_013815099.1-35,cds-WP_004151449.1,cds-WP_004147581.1,cds-AF52_RS17780,cds-WP_013815099.1-57,cds-WP_021440044.1
59,cds-WP_004183439.1,cds-WP_002916740.1,cds-WP_002910407.1,cds-WP_002888056.1,cds-WP_013815099.1-23,cds-WP_013815099.1-74,cds-WP_013815099.1-16,cds-WP_002913291.1,cds-WP_002914147.1,cds-WP_002887843.1,cds-WP_013815099.1-2,cds-WP_004893549.1
60,cds-WP_050484295.1,cds-WP_012068464.1,cds-WP_002916844.1,cds-WP_004174339.1,cds-WP_187079192.1,cds-WP_013815099.1-7,cds-WP_013815099.1-64,cds-WP_002914082.1,cds-WP_002889299.1,cds-WP_032429512.1,cds-WP_013815099.1-40,cds-WP_002920545.1
61,cds-WP_004107293.1,cds-WP_002913162.1,cds-WP_004151535.1,cds-WP_002919257.1,cds-WP_013815099.1-6,cds-WP_013815099.1-78,cds-WP_013815099.1-14,cds-WP_002916299.1,cds-WP_004150824.1,cds-WP_032429829.1,cds-WP_013815099.1-44,cds-WP_002919257.1
62,cds-WP_002922944.1,cds-WP_002891629.1,cds-WP_002916277.1,cds-WP_002910443.1,cds-WP_013815099.1-4,cds-WP_013815099.1-41,cds-WP_013815099.1-20,cds-WP_002915934.1,cds-WP_002884036.1,cds-WP_100181659.1,cds-WP_013815099.1-27,cds-WP_002887897.1
63,cds-WP_002895043.1,cds-WP_002888056.1,cds-WP_002920545.1,cds-WP_002916508.1,cds-WP_013815099.1-5,cds-WP_013815099.1-68,cds-WP_013815099.1-63,cds-WP_032429575.1,cds-WP_020802781.1,cds-WP_002898165.1,cds-WP_013815099.1-55,cds-WP_004150800.1
64,cds-WP_002915213.1,cds-WP_032430213.1,cds-WP_002913195.1,cds-WP_032430291.1,cds-WP_013815099.1-67,cds-WP_013815099.1-23,cds-WP_013815099.1-76,cds-WP_002920115.1,cds-WP_032429670.1,cds-WP_002896522.1,cds-WP_013815099.1-81,cds-WP_004151327.1
65,cds-WP_004144997.1,cds-WP_002913019.1,cds-WP_002883016.1,cds-WP_002920861.1,cds-WP_013815099.1-19,cds-WP_013815099.1-33,cds-WP_013815099.1-68,cds-WP_002903693.1,cds-WP_004144787.1,cds-WP_032429677.1,cds-WP_013815099.1-23,cds-WP_021441452.1
